Allāh,Allah
ar-Raḥmān,The Most Gracious
ar-Raḥīm,The Most Merciful
al-Malik,The King
al-Quddūs,The Most Holy
as-Salām,The Peace
al-Muʾmin,The Giver of Security
al-Muhaymin,The Controller
al-ʿAzīz,The Exalted in Might
al-Jabbār,The Omnipotent
al-Mutakabbir,The Superior
al-Khāliq,The Creator
al-Bāriʾ,The Inventor
al-Muṣawwir,The Designer
al-Ghaffār,The Absolute Forgiver
al-Qahhār,The Subduer
al-Wahhāb,The Bestower
ar-Razzāq,The Provider
al-Fattāḥ,The Opener
al-ʿAlīm,The All-Knowing
al-Qābiḍ,The Restrainer
al-Bāsiṭ,The Expander
al-Khāfiḍ,The Humiliator
ar-Rāfiʿ,The Exalter
al-Muʿizz,The Giver of Honor
al-Muḏill,The Giver of Disgrace
as-Samīʿ,The All-Hearing
al-Baṣīr,The All-Seeing
al-Ḥakam,The Judge
al-ʿAdl,The Just
al-Laṭīf,The Gentle
al-Khabīr,The All-Aware
al-Ḥalīm,The Forbearing
al-ʿAẓīm,The Most Magnificent
al-Ghafūr,The Oft-Forgiving
ash-Shakūr,The Grateful
al-ʿAliyy,The Most High
al-Kabīr,The Most Great
al-Ḥafīz,The Protector
al-Muqīt,The Nourisher
al-Ḥasīb,The Ever-Reckoner
al-Jalīl,The Majestic
al-Karīm,The Noble
ar-Raqīb,The Watchful
al-Mujīb,The Answerer
al-Wāsiʿ,The Vast
al-Ḥakīm,The Wise
al-Wadūd,The Affectionate
al-Majīd,The All-Glorious
al-Bāʿiṯ,The Resurrector
ash-Shahīd,The Witness
al-Ḥaqq,The Truth
al-Wakīl,The Dependable
al-Qawiyy,The Strong
al-Matīn,The Firm
al-Waliyy,The Helper
al-Ḥamīd,The All-Praiseworthy
al-Muḥsīy,The Accounter
al-Mubdiʾ,The Initiator
al-Muʿīd,The Restorer
al-Muḥyē,The Giver of Life
al-Mumīt,The Bringer of Death
al-Ḥayy,The Living
al-Qayyūm,The Independent
al-Wājid,The Finder
al-Mājid,The Glorious
al-Wāḥid,The Unique
al-ʾAḥad,The One
aṣ-Ṣamad,The Self-Sufficient
al-Qādir,The All-Powerful
al-Muqtadir,The Determiner
al-Muqaddim,The Expeditor
al-Muʾakhkhir,The Delayer
al-ʾAwwal,The First
al-ʾÃkhir,The Last
aẓ-Ẓāhir,The Manifest
al-Bāṭin,The Hidden
al-Wāliy,The Patron
al-Mutʿāliy,The Most Exalted
al-Barr,The Beneficent
at-Tawwāb,The Oft-Returning
al-Muntaqim,The Avenger
al-ʿAfuww,The Pardoner
ar-Raʾūf,The Kind
Mālik-ul-mulk,Owner of All Sovereignty
Ḏū l-Jalāli wa l-ʾIkrām,Owner of Majesty and Honor
al-Muqsiṭ,The Requiter
al-Jāmiʿ,The Gatherer
al-Ghāniyy,The Rich
al-Mughniyy,The Enricher
al-Māniʿ,The Preventer
aḍ-Ḍār,The Distressor
an-Nāfiʿ,The Benefactor
an-Nūr,The Light
al-Hādī,The Guide
al-Badīʿ,The Originator
al-Bāqī,The Everlasting
al-Wāriṯ,The Inheritor
ar-Rashīd,The Right Guide
aṣ-Ṣabūr,The Patient